48:3.16228 141:2.82843
483:3.16228 582:1.41421
442:5.38516 649:10.2956
600:3 654:7.2111
543:2.23607 580:4.24264
462:3 608:3.16228
493:9.21954 495:9.89949
568:3 597:5.83095
459:5.09902 626:6.32456
511:4.47214 534:3.16228
449:7.61577 590:8.06226
436:1.41421 627:4
405:2.23607 537:5
416:3.60555 507:6.7082
565:8.60233 591:10.8167
412:5.65685 596:3.60555
509:4 545:8
483:3 538:4.47214
547:2.23607 579:3.60555
556:6.40312 651:5
521:3 667:3.16228
433:5 593:3.16228
416:3.16228 454:1
567:2.23607 599:2.23607
501:4 648:7.28011
430:1 474:2.23607
494:4.47214 534:3.16228
447:2 571:3.60555
595:10.198 646:10
406:5 468:5.83095
427:2.82843 483:8.24621
578:6.40312 667:6.40312
451:7.28011 461:4.47214
536:4.24264 628:3
653:3.16228 662:2
541:3.16228 634:5
505:3 667:3.60555
543:5 644:2.23607
407:1.41421 410:6.40312
470:4.47214 606:1
428:7.61577 668:5
425:4.47214 533:4.12311
545:4.12311 623:8.24621
543:4.47214 580:3.60555
509:8.06226 648:1.41421
414:9.21954 438:5
632:1 660:9.43398
488:13.4536 654:14.3178
425:3 526:4.12311
494:3.16228 511:3.16228
404:3.60555 655:4
518:4.24264 628:3
405:4.47214 497:5
486:6.08276 502:4.47214
400:1 443:2.23607
452:3.16228 468:2
520:3.16228 621:4.12311
414:6.40312 455:1
489:2.23607 644:3.16228
584:6.40312 610:3
501:8 527:4.12311
551:3.16228 625:2.23607
434:3 503:2.23607
464:1 643:2
474:5.83095 510:6.08276
583:9.48683 588:5.09902
546:3.16228 625:2.23607
602:6.32456 666:6
440:4.47214 649:5.09902
444:5 572:6
577:6.40312 586:6.32456
575:3.16228 666:5
439:7.2111 619:10.4403
428:9.43398 668:6.32456
604:11.0454 605:10.2956
420:8.94427 663:8.60233
453:8 574:5.09902
516:7.61577 578:2.23607
493:13.3417 626:7.07107
508:4.12311 599:5.09902
543:7.2111 644:5.83095
598:3.16228 601:6.40312
508:2.23607 599:1.41421
492:3 597:5
590:2.23607 607:5
512:5.83095 571:5.38516
447:3 639:3.16228
444:3.60555 554:6
492:7.81025 614:5.09902
561:5.09902 640:11.1803
404:5.83095 556:3.16228
518:7.61577 554:6.7082
474:3.16228 586:3.60555
516:6.40312 562:2.23607
503:3.60555 547:3.16228
489:4.24264 528:3.60555
613:10 669:8.06226
483:4.47214 486:1.41421
550:9.48683 601:8.60233
544:6.40312 610:5.09902
538:10.7703 557:11
577:3.60555 664:2.82843
456:11.1803 634:10
550:5.09902 562:13.1529
476:9.21954 552:10.198
569:2.23607 607:4.47214
499:10.8167 605:12.53
620:5.09902 648:13.4164
460:4.47214 506:3.16228
601:6.40312 672:1
432:5.38516 482:6.7082
412:2.23607 500:3.60555
492:5.83095 568:5
566:3.16228 612:6.08276
508:2.23607 567:1.41421
488:3 603:5.83095
417:1.41421 672:5.83095
552:6.32456 666:2
488:8.544 600:5.83095
439:4.12311 619:2
559:10.2956 591:12.53
470:5 524:1
569:5 590:4.47214
469:4.47214 490:3.16228
423:4.12311 616:2.23607
544:3 584:5.09902
446:8 461:6
478:3.60555 598:6.08276
618:8.60233 669:2.23607
573:5.09902 617:7.07107
411:1.41421 446:3.16228
423:6 609:2.23607
476:2.82843 614:7.07107
613:8.60233 669:9.84886
439:4.12311 604:2
592:5.09902 613:15.0333
520:7 541:4.12311
415:6.7082 459:5.38516
527:8.24621 576:10
426:12.1655 642:13.9284
546:2.23607 551:2.23607
493:6.32456 563:7.07107
436:3.16228 496:4
402:3 518:3
425:11.4018 526:10.2956
458:4 484:8
458:6.7082 484:6.08276
463:9.84886 531:1
641:8.544 664:5.83095
423:5 520:5
422:7.07107 638:5
429:8.48528 553:5.83095
656:7.2111 673:7.07107
457:5.83095 635:5
434:3.16228 571:3.16228
522:6.40312 670:5
430:12.083 633:8.544
426:7.07107 624:13.9284
464:1 548:2
522:2.23607 543:3.16228
475:1.41421 655:10
468:4.24264 540:3.16228
413:6.08276 660:2.82843
509:7.28011 529:1.41421
440:7.61577 553:5.09902
407:8.94427 443:8.48528
504:5 556:7.07107
439:10.2956 604:12.0416
519:3.16228 662:1.41421
466:4.12311 488:7.2111
404:3.60555 535:4
637:7.2111 673:3.16228
465:1.41421 658:5.83095
534:5 657:5.83095
419:3 523:10.7703
413:8.544 647:2.82843
471:9.43398 670:10.4403
519:2 653:1.41421
420:1.41421 517:7.28011
577:4.12311 586:2.82843
453:5.65685 471:9.89949
556:5 602:2
505:3.16228 521:3.60555
525:5 558:6.32456
581:8.06226 613:2.23607
471:7.07107 640:5
473:13.0384 479:11.0454
417:5.65685 594:1
637:7.07107 656:3.16228
458:13.0384 630:9.05539
944:7.28011 958:5
819:1.41421 926:5.83095
722:6.7082 983:11.6619
699:3.60555 900:3
934:7.07107 969:2
886:8.544 956:5
750:5 929:8.60233
740:6.7082 954:5.65685
894:4.47214 899:1
770:9 854:7.28011
833:5 871:1
942:6.32456 965:7
730:8.06226 942:4.47214
788:6.08276 888:2.23607
748:5 996:8.24621
747:11.4018 790:7.07107
966:8.24621 994:5.38516
779:11.4018 811:12.0416
797:4.47214 850:5.83095
823:3.60555 966:5
840:7.28011 947:6.40312
834:8.94427 852:12.8062
814:3 973:5
744:7 865:10.198
678:3.60555 900:2
753:14.2127 875:8.544
791:4 998:3.16228
707:6.7082 766:2.23607
755:6.08276 990:7.07107
893:18.9737 963:9.43398
805:2 982:2.23607
906:8.24621 991:5.83095
702:6.7082 766:7.07107
685:5 871:4.47214
914:8.544 981:8.06226
765:2.82843 981:9.89949
845:1 867:8.94427
773:2.23607 866:5
767:7.07107 944:10.2956
734:3.16228 912:1.41421
727:9.48683 768:9.48683
794:8 805:8.48528
863:4.47214 879:7.28011
725:4.12311 844:1
925:5 988:5.65685
857:5.09902 898:7.2111
780:7.2111 904:6.32456
677:6.7082 983:13.8924
740:9.21954 880:3.60555
737:4.47214 890:6.32456
842:4.12311 844:4
806:4.47214 849:8.544
737:7.28011 818:7.07107
769:8.06226 952:11.1803
817:6.40312 855:4
802:5.65685 934:4.47214
771:10.7703 987:6.08276
798:7.2111 876:1.41421
812:3.16228 990:8
714:3.16228 912:4
762:3.60555 773:5.38516
799:14.2127 862:11.1803
724:4.47214 818:3
760:13 997:8
920:5.83095 959:2.23607
682:6.7082 794:8.94427
884:8.06226 963:11.4018
942:8.06226 974:2
877:1 918:2.23607
698:7 865:3.60555
717:10.198 917:5
788:5.65685 957:4.12311
911:6 936:8.94427
689:5 958:8.06226
821:6.08276 986:2.23607
681:5 862:7.61577
835:4.24264 909:2.82843
840:2 928:3.16228
874:4 970:2.82843
764:10.198 777:1
703:6.08276 770:7.07107
872:2.82843 962:4.12311
701:8.24621 968:3.16228
767:12.2066 977:7.07107
719:9 961:1
764:7.81025 867:7
783:5.09902 979:4
735:3.60555 883:3
791:2.23607 975:5
781:2.23607 867:5.09902
710:2.82843 999:10.198
702:2.23607 822:5
713:7.07107 858:7.28011
715:9.48683 727:13.4164
728:8.06226 889:4.47214
831:2.23607 836:1.41421
785:2 987:6.40312
787:10.2956 795:2
712:2.23607 866:4.47214
816:9.48683 854:2.82843
907:8.60233 914:3.16228
685:5.83095 833:5.38516
754:1 764:9.21954
819:10.4403 989:5.09902
692:11.4018 811:4.12311
721:7.2111 943:6.32456
764:2.23607 867:4.12311
890:3 941:5.09902
761:5.09902 979:9.05539
831:1 836:1.41421
771:2 825:6.7082
792:5 796:3.60555
772:10.2956 997:7.07107
746:5.65685 888:4
820:5 928:13.1529
690:7.07107 965:11.0454
701:4 763:2.23607
786:5 796:6.32456
739:12.7279 798:11.7047
805:6.32456 954:3.60555
772:2 787:11.4018
786:3.60555 910:2.82843
693:4.47214 931:7.81025
732:7.2111 876:5.83095
801:7.61577 862:6.08276
897:4.47214 985:13.4164
750:11.1803 799:7.61577
730:5.65685 934:2
885:5 891:5
955:11.4018 960:7.07107
705:2 982:4.12311
726:4.47214 849:4.12311
683:6 899:6.08276
685:7.28011 871:7.07107
753:8.24621 874:4.47214
826:12.8062 926:8.24621
779:4.12311 922:11.6619
733:3.16228 776:7.07107
766:9.43398 822:5.83095
697:3 973:7.61577
749:8.06226 931:2.23607
930:6 937:1
729:6.40312 855:4.12311
727:7.07107 737:3
676:1.41421 989:5.38516
789:5 828:12.8062
749:6.08276 848:5.38516
766:5 813:5.83095
694:3.60555 966:7.61577
830:2.82843 832:2
785:6.7082 951:5.09902
676:7.07107 819:7.2111
734:7.2111 919:6.32456
905:7.28011 916:7.61577
743:11.3137 877:12.0416
824:2.82843 832:4.47214
784:1 836:1
824:2 830:4.47214
685:5 776:5.38516
852:4.47214 880:8.60233
751:4.24264 864:5
784:1.41421 831:1
711:10.7703 856:9.05539
699:7.07107 889:6.7082
821:9.43398 848:4.24264
752:2 928:3.16228
778:10.6301 935:12.0416
725:4.12311 844:5
784:3.60555 831:4.47214
718:1 725:4
711:1 867:9.84886
901:6 945:5.38516
902:5.38516 929:5.09902
821:5.38516 839:4.24264
806:4.12311 938:3.16228
693:5.83095 797:9.89949
953:12.7279 978:2
834:4.47214 880:10.2956
872:2.82843 962:3
684:7.28011 774:2.82843
729:4 817:4.12311
921:8.544 924:6.32456
720:5.09902 898:7.07107
767:7.28011 985:5.83095
939:9 999:7.28011
824:7.07107 940:7.2111
925:9.89949 988:9.21954
750:7.61577 799:6.08276
717:4.47214 879:5
835:5 909:4.12311
744:3.60555 901:5
712:5 773:4.47214
764:5.09902 781:4.12311
924:5.09902 955:6.7082
873:2 899:11.1803
895:4 904:6.40312
685:1 708:4.47214
853:2.82843 962:2.23607
822:10 869:2
753:4 809:4.47214
878:6.40312 970:6.7082
732:1.41421 798:5.83095
743:1 918:2.82843
957:4.47214 970:2.82843
863:5 910:7
723:3.60555 834:8.60233
892:9.05539 932:5.09902
701:8.06226 998:5.38516
762:3 773:5
741:8.06226 809:9.05539
803:5 923:5.09902
680:8.544 797:9.84886
853:4.12311 872:3.60555
688:2.23607 788:4
769:4.47214 838:6.7082
782:3 941:2.23607
803:5 885:7.07107
881:9.05539 932:10
734:15.2315 919:12.1655
683:4.47214 899:5
870:4 964:7.61577
823:10 966:9.05539
800:4.47214 985:8.94427
720:7.2111 857:7.07107
683:1 894:5
678:3 699:2
846:6 865:5
847:5.38516 929:6.7082
930:8.94427 937:13.6015
721:6.32456 923:5.65685
828:7.28011 916:6.40312
967:5.09902 991:5.83095
775:8.60233 914:10.7703
734:11.4018 827:7.61577
751:2.82843 864:4.12311
786:5 796:2.82843
747:6 936:4.47214
714:1.41421 734:4
915:5 933:5.38516
709:8.544 775:3.16228
913:5 939:1
828:7.61577 905:6.40312
745:5 883:8.06226
743:2.23607 877:2.82843
734:4.47214 827:6.32456
739:5.83095 959:5
940:1.41421 955:4.47214
825:10 951:5.83095
885:5.09902 904:5.65685
868:5.09902 955:4.12311
719:5 988:1
676:5.83095 819:7.2111
891:7.81025 983:7.28011
752:3.16228 840:3.16228
847:5.09902 902:6.7082
816:6 937:5
797:7.81025 815:2.23607
881:5.09902 892:10
913:5.38516 915:8.60233
730:4.47214 802:2
689:9.89949 996:5.09902
747:8.94427 911:4.47214
816:1 930:5
806:5.38516 849:3.16228
913:6 915:1
921:1.41421 955:5.09902
782:5.09902 890:2.23607
686:6.32456 687:4.47214
780:6.32456 956:6.7082
675:7.28011 958:2.82843
846:5.38516 992:8.94427
711:12.0416 845:11.4018
695:6.40312 950:7.2111
795:12 961:12.0416
937:7.28011 971:6.08276
947:7.2111 992:4.12311
825:5.09902 922:5.83095
707:14.0357 728:11.1803
851:12.7279 978:11.4018
682:5.65685 794:3.60555
921:4.47214 924:4.12311
680:5 943:6.7082
746:4.12311 878:4.47214
675:5 944:2.82843
739:2.23607 920:5
940:5.09902 955:5.65685
719:10 759:1
853:3 872:2.23607
704:9.43398 741:11.4018
721:9.84886 895:7.61577
686:7 974:10
694:5 823:7.61577
906:5.09902 991:6.32456
701:9.05539 757:3.16228
679:2 934:5.09902
753:2.82843 878:2.82843
930:13.1529 949:6.08276
885:5.83095 923:6.32456
697:5 814:7.61577
742:2 942:9.84886
763:5 791:4.47214
803:7.61577 891:10.0499
675:8.24621 758:7.07107
851:2 953:11.4018
718:8.544 761:4
681:8.60233 862:9.43398
709:8.06226 710:9.89949
705:2.23607 805:4.12311
891:8.24621 927:7.28011
705:11.4018 982:10.6301
858:5.83095 902:6.7082
749:2.23607 821:8.24621
731:6.08276 771:6.40312
719:5.65685 925:1
778:5.09902 819:5.38516
703:7.07107 733:8
706:5.83095 906:5.83095
846:6.7082 950:4.12311
784:7.81025 843:4.47214
691:5.38516 950:8.24621
882:10.198 998:10.6301
817:6.40312 935:5.09902
738:8 787:7.07107
701:3.16228 882:5.38516
765:10.198 859:7.28011
1129:1 1147:1.41421
1031:3.16228 1164:2
1073:1 1110:2.23607
1013:3.60555 1018:2.23607
1009:2 1058:1
1085:1.41421 1101:2
1055:3 1089:1.41421
1028:1 1112:2
1065:1.41421 1095:3.16228
1004:2 1017:2
1024:1 1172:1
1045:2 1109:2
1032:2.23607 1102:2.23607
1050:3.60555 1145:2.23607
1035:1 1071:2.23607
1083:4.12311 1149:4
1110:1 1174:2
1009:2 1019:1
1003:2.23607 1145:3.60555
1017:1 1161:1.41421
1075:2 1135:3
1055:2.82843 1094:1.41421
1085:2 1151:1.41421
1039:2.23607 1090:1
1010:1 1172:1.41421
1053:3.16228 1168:2
1027:2.82843 1069:3.16228
1030:2.23607 1062:1
1007:1 1112:2.23607
1068:2 1130:1.41421
1062:1.41421 1136:2
1001:3.16228 1141:3.16228
1102:2 1114:1.41421
1083:3.16228 1163:3.16228
1067:1 1121:3
1014:1 1071:1.41421
1091:1.41421 1152:1
1068:2 1078:1.41421
1108:1.41421 1131:1
1120:1.41421 1134:2
1049:3.60555 1154:2.82843
1082:2.23607 1087:1.41421
1054:3.16228 1141:4.47214
1029:3.60555 1130:2.23607
1009:2.23607 1105:3.16228
1011:2 1061:1.41421
1023:3.60555 1115:2
1064:1.41421 1103:2.82843
1157:1.41421 1159:1.41421
1040:3.60555 1154:1
1063:2 1112:1.41421
1060:2.23607 1167:2.23607
1022:2.23607 1074:1
1025:3.16228 1108:2.23607
1042:3.16228 1106:2.82843
1094:1.41421 1164:2.23607
1152:2.82843 1157:3
1080:1 1170:3
1004:1 1009:2.23607
1135:1 1139:1
1051:2.23607 1139:4
1045:1.41421 1150:3
1027:1 1030:1.41421
1050:2 1112:1.41421
1047:1.41421 1125:2.82843
1008:1.41421 1095:2
1071:3.60555 1113:1
1034:1 1121:2
1037:2 1132:1
1136:2.23607 1146:1.41421
1086:1 1141:2
1014:2.23607 1035:1.41421
1061:3.16228 1081:2
1002:1 1110:3.16228
1022:2 1052:1
1020:2 1021:3.16228
1079:1 1117:1.41421
1041:2.23607 1082:3.16228
1029:3.16228 1037:1.41421
1076:1 1117:2.23607
1057:1 1170:4
1061:3.16228 1072:2
1041:2.23607 1087:2.23607
1033:3.16228 1163:2
1098:3.60555 1099:1.41421
1101:1.41421 1171:1
1070:1 1141:3
1041:1.41421 1082:2.23607
1142:1.41421 1167:1
1006:1.41421 1055:4.12311
1023:1 1134:2
1036:1.41421 1116:2.23607
1052:2.82843 1074:2.23607
1012:3.16228 1014:3.16228
1021:1.41421 1055:1.41421
1008:3.16228 1065:2
1004:2.23607 1058:2.82843
1124:1.41421 1131:3
1084:3.60555 1099:2.23607
1084:1.41421 1098:2.23607
1030:2.23607 1166:2.23607
1085:1.41421 1171:1
1032:2 1114:1.41421
1047:2.82843 1125:1.41421
1030:3 1136:3.60555
1044:3.16228 1079:3
1054:2.82843 1165:4.47214
1121:1.41421 1150:1.41421
1038:1.41421 1053:2.23607
1011:2 1045:4
1002:2.23607 1016:1
1169:3.16228 1174:2.23607
1050:1.41421 1063:1.41421
1066:1 1173:2.82843
1032:1.41421 1102:1.41421
1046:2 1118:3
